species,gridlat,gridlon,d18oc,d18osw,t_annual,t_seasonal,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
G. bulloides,-57.5,-53.5,2.24,-0.29746824502944946,2.100175142288208,3.7835934162139893,1,1,1,0,0,0,0,0,0,0,0,0
G. bulloides,-56.5,-115.5,2.28,-0.2928188443183899,5.167256832122803,5.167256832122803,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-56.5,-56.5,2.245,-0.2819935977458954,3.57647705078125,4.666713237762451,1,1,1,1,1,0,0,0,0,0,0,1
G. bulloides,-55.5,-58.5,2.146,-0.272228479385376,4.832495212554932,4.983686447143555,1,1,1,1,1,1,1,1,0,1,1,1
G. bulloides,-55.5,-57.5,2.3485714285714288,-0.2662583887577057,4.671474933624268,5.106033802032471,1,1,1,1,1,1,0,1,0,0,1,1
G. bulloides,-54.5,-40.5,3.121108151101569,-0.29048946499824524,1.843389868736267,3.5797033309936523,0,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-54.5,144.5,2.73,-0.33197832107543945,3.5373668670654297,4.606745719909668,1,1,1,1,0,0,0,0,0,0,0,1
G. bulloides,-53.5,-59.5,2.146,-0.26700180768966675,6.562385082244873,6.562385082244873,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-53.5,-58.5,2.09,-0.25027942657470703,6.412387847900391,6.412387847900391,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-53.5,-50.5,1.93,-0.22322042286396027,4.371664524078369,5.120039463043213,1,1,1,1,1,1,0,0,0,0,1,1
G. bulloides,-52.5,109.5,2.97,-0.32317039370536804,3.0326874256134033,4.159122467041016,1,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-51.5,-3.5,2.6,-0.285747230052948,1.934249997138977,3.1826999187469482,0,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-51.5,163.5,1.1793,-0.13199099898338318,8.845958709716797,8.845958709716797,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-50.5,-14.5,3.01,-0.2734755873680115,3.4205076694488525,4.369146823883057,1,1,1,1,1,0,0,0,0,0,0,1
G. bulloides,-50.5,-7.5,3.185,-0.279879629611969,2.3842551708221436,3.7962968349456787,0,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-50.5,-3.5,3.16,-0.2761629819869995,2.6837375164031982,3.9812068939208984,0,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-50.5,5.5,3.098,-0.2568574547767639,2.9565041065216064,4.1566033363342285,0,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-50.5,147.5,3.22,-0.2672727406024933,8.162960052490234,8.162960052490234,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-49.5,-12.5,2.5780000000000003,-0.2611403465270996,3.7136876583099365,4.562068939208984,1,1,1,1,1,1,0,0,0,0,0,1
G. bulloides,-49.5,-6.5,2.8699999999999997,-0.26316583156585693,3.1215732097625732,4.407869815826416,1,1,1,1,0,0,0,0,0,0,0,0
G. bulloides,-49.5,0.5,2.865,-0.25251519680023193,3.847001314163208,4.578888416290283,1,1,1,1,1,1,0,0,0,0,0,1
G. bulloides,-49.5,6.5,2.8274999999999997,-0.2516005337238312,3.7674615383148193,4.413525581359863,1,1,1,1,1,1,0,0,0,0,0,1
G. bulloides,-49.5,128.5,2.26,-0.2619308531284332,8.137131690979004,8.137131690979004,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-48.5,-56.5,2.35,-0.16234558820724487,7.570867538452148,7.570867538452148,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-48.5,-11.5,2.665,-0.23870277404785156,4.244378089904785,5.161418437957764,1,1,1,1,1,1,0,0,0,0,0,1
G. bulloides,-48.5,-6.5,2.7600000000000002,-0.240316241979599,3.9419498443603516,4.818911552429199,1,1,1,1,1,1,0,0,0,0,0,1
G. bulloides,-48.5,-5.5,2.8433333333333333,-0.24110731482505798,4.072027683258057,4.934871196746826,1,1,1,1,1,1,0,0,0,0,0,1
G. bulloides,-48.5,-2.5,2.762,-0.23978039622306824,4.539149761199951,5.192998886108398,1,1,1,1,1,1,1,0,0,0,0,1
G. bulloides,-48.5,6.5,2.8425000000000002,-0.2383919507265091,4.588888645172119,4.822168827056885,1,1,1,1,1,1,1,1,0,1,0,1
